COD_STR,Annual_IMERG,Annual_ETo_Brazil,Aridity_index,Seasonality_index
15124009,1849.15,1403.42,0.759,-0.132
17091000,1643.262,1389.54,0.846,0.041
17092800,1624.17,1395.437,0.859,-0.059
17093000,1753.192,1394.455,0.795,-0.194
17095000,1822.147,1410.17,0.774,-0.191
17120000,1894.327,1423.128,0.751,-0.219
17123000,1947.212,1422.94,0.731,-0.379
17200000,1778.176,1435.645,0.807,0.112
17210000,1795.677,1436.803,0.8,0.024
17280000,1869.989,1434.563,0.767,-0.222
18409000,1696.935,1410.402,0.831,0.131
18415000,1773.992,1450.291,0.818,0.238
18420000,1773.118,1446.009,0.816,-0.112
18428000,1768.565,1505.168,0.851,-0.07
20100000,1636.681,1498.898,0.916,0.024
20200000,1660.126,1507.82,0.908,0.101
21300000,1184.199,1590.149,1.343,0.236
21560000,1348.035,1614.398,1.198,-0.248
21580000,1295.589,1617.767,1.249,-0.214
21750000,1423.113,1616.71,1.136,-0.383
22100000,1471.593,1559.574,1.06,-0.202
22150000,1454.24,1563.039,1.075,-0.251
22190000,1610.467,1586.944,0.985,-0.651
22220000,1562.957,1581.864,1.012,-0.534
22250000,1550.21,1575.097,1.016,-0.549
22680000,1475.368,1570.781,1.065,-0.675
22700000,1488.923,1568.97,1.054,-0.681
22900000,1612.743,1554.274,0.964,-0.737
23100000,1540.88,1553.485,1.008,-0.376
23230000,1723.157,1531.039,0.889,-0.903
23250000,1650.381,1526.92,0.925,-0.921
23251000,1726.673,1495.16,0.866,-0.996
23610000,1528.78,1480.959,0.969,-0.98
23700000,1567.324,1543.262,0.985,-0.529
24070000,1626.698,1409.478,0.866,0.592
24200000,1599.517,1438.36,0.899,0.508
24500000,1669.211,1417.441,0.849,0.491
24700000,1626.927,1437.873,0.884,0.505
24750000,1523.339,1467.631,0.963,0.373
24780000,1545.817,1461.734,0.946,0.375
24800000,1536.519,1475.022,0.96,0.386
24850000,1604.368,1447.787,0.902,0.479
24900000,1507.704,1484.857,0.985,0.339
24950000,1541.336,1504.04,0.976,0.336
25090000,1634.32,1513.405,0.926,0.048
25100000,1651.812,1538.461,0.931,0.043
25120000,1616.976,1539.306,0.952,0.183
25130000,1618.281,1533.462,0.948,0.248
25200000,1585.744,1471.184,0.928,0.443
25700000,1594.888,1483.058,0.93,0.41
25750000,1570.111,1548.352,0.986,0.074
26050000,1736.211,1400.417,0.807,0.323
