COD_STR,Ano,Annual and perennial crop,Forest formation,Forest plantation,Grassland,Mosaic of agriculture and pasture,Other,Other natural non-forest,Pasture,River and lake,Savanna formation,Semi-perennial crop,Urban infrastructure,Wetland
15124009,2000,0.51,60.77,0,0.03,0,0,0.24,36.55,0,1.88,0,0.03,0
15124009,2001,0.32,60.56,0,0.03,0,0,0.19,36.79,0,2.09,0,0.03,0
15124009,2002,0.35,58.52,0,0.03,0,0,0.16,38.42,0,2.49,0,0.03,0
15124009,2003,0.96,56.19,0,0,0,0,0.27,40.41,0,2.14,0,0.03,0
15124009,2004,1.71,54.15,0,0,0,0,0.27,41.61,0,2.22,0,0.03,0
15124009,2005,2.01,53.19,0,0,0,0,0.27,42.47,0,2.04,0,0.03,0
15124009,2006,2.17,52.92,0,0.03,0,0,0.27,42.77,0,1.82,0,0.03,0
15124009,2007,1.96,52.73,0,0,0,0.03,0.27,42.68,0,2.3,0,0.03,0
15124009,2008,2.14,51.8,0,0,0,0,0.62,43.14,0,2.28,0,0.03,0
15124009,2009,2.22,51.74,0,0,0,0,0.67,43.01,0,2.33,0,0.03,0
15124009,2010,2.38,52.06,0,0,0,0,0.54,42.77,0,2.22,0,0.03,0
15124009,2011,2.52,51.9,0,0,0,0,0.48,42.9,0,2.17,0,0.03,0
15124009,2012,2.65,51.9,0,0,0,0,0.48,42.77,0,2.17,0,0.03,0
15124009,2013,2.76,52.2,0,0.03,0,0,0.48,42.36,0,2.14,0,0.03,0
15124009,2014,2.97,52.09,0,0,0,0,0.32,42.42,0,2.17,0,0.03,0
17091000,2000,21.12,12.69,0,40.82,0,0,0,0.15,0,25.21,0,0,0
17091000,2001,22.79,12.76,0,39.92,0,0.02,0,0.11,0,24.4,0,0,0
17091000,2002,24,12.36,0,39.44,0,0.02,0,0.07,0,24.11,0,0,0
17091000,2003,24.99,11.26,0,39.72,0,0,0,0.13,0,23.89,0,0,0
17091000,2004,28.09,11.05,0,37.62,0,0,0,0.26,0,22.99,0,0,0
17091000,2005,28.5,10.83,0,37.11,0,0,0,0.42,0,23.14,0,0,0
17091000,2006,28.68,10.67,0,36.8,0,0.04,0,0.35,0.02,23.43,0,0,0
17091000,2007,28.63,10.67,0,36.89,0,0.04,0,0.31,0.02,23.43,0,0,0
17091000,2008,28.55,10.45,0,36.89,0,0.04,0,0.18,0.04,23.8,0.04,0,0
17091000,2009,28.85,10.43,0,36.5,0,0.02,0,0.22,0.02,23.89,0.07,0,0
17091000,2010,28.9,10.39,0,36.32,0,0.02,0,0.29,0.02,24.04,0.02,0,0
17091000,2011,29.38,10.36,0,36.01,0,0.02,0,0.22,0.02,23.98,0,0,0
17091000,2012,28.79,10.41,0,36.06,0,0.02,0,0.29,0.02,24.42,0,0,0
17091000,2013,28.77,10.43,0.02,36.14,0,0.02,0,0.35,0.02,24.24,0,0,0
17091000,2014,28.63,10.52,0,35.99,0,0.04,0,0.79,0,24,0.02,0,0
17092800,2000,16.95,13.63,0,56.61,0,0,0,0.07,0,12.74,0,0,0
17092800,2001,17.09,13.66,0,56.68,0,0,0,0.07,0,12.5,0,0,0
17092800,2002,17.29,13.7,0,56.51,0,0,0,0.1,0,12.4,0,0,0
17092800,2003,18.03,13.67,0,56.02,0,0,0,0.09,0,12.19,0,0,0
17092800,2004,18.7,13.63,0,55.38,0,0,0,0.11,0,12.16,0.01,0,0
17092800,2005,19.14,13.63,0,54.88,0,0,0,0.14,0,12.2,0,0,0
17092800,2006,19.63,13.64,0,54.31,0,0,0,0.24,0,12.13,0.04,0,0
17092800,2007,19.44,13.7,0,54.18,0,0,0,0.4,0,12.1,0.17,0,0
17092800,2008,19.52,13.66,0,53.94,0,0.06,0,0.48,0,12.17,0.17,0,0
17092800,2009,20.09,13.66,0,53.56,0,0.01,0,0.3,0,12.07,0.31,0,0
17092800,2010,20.03,13.59,0,53.31,0,0,0,0.46,0,12.26,0.36,0,0
17092800,2011,20,13.64,0,53.16,0,0,0,0.48,0,12.26,0.46,0,0
17092800,2012,20.06,13.7,0,52.93,0,0,0,0.66,0,12.15,0.51,0,0
17092800,2013,20.13,13.63,0,52.87,0,0,0,0.86,0,12.16,0.36,0,0
17092800,2014,19.93,13.6,0,52.77,0,0,0,0.96,0,12.19,0.56,0,0
17093000,2000,11.97,39.57,0,17.94,0,0.02,0,2.07,0.06,28.36,0,0,0
17093000,2001,12.52,39.56,0,17.69,0,0.03,0,2.26,0.06,27.88,0,0.01,0
17093000,2002,13.23,39.33,0,17.46,0,0.03,0,2.3,0.06,27.57,0,0.01,0
17093000,2003,14.11,38.74,0,17.25,0,0.02,0,2.63,0.06,27.18,0,0.01,0
17093000,2004,15.65,38.37,0,16.57,0,0,0,2.84,0.06,26.49,0,0.01,0
17093000,2005,16.2,38.12,0,16.37,0,0.01,0,3.09,0.06,26.15,0,0.01,0
17093000,2006,16.39,37.94,0,16.24,0,0.01,0,3.13,0.07,26.21,0.01,0.01,0
17093000,2007,16.32,37.84,0,16.2,0,0.01,0,3.29,0.06,26.24,0.02,0.01,0
17093000,2008,16.27,37.58,0,16.2,0,0.01,0,3.36,0.06,26.47,0.03,0.01,0
17093000,2009,16.45,37.57,0,16.09,0,0.01,0,3.27,0.06,26.48,0.05,0.01,0
17093000,2010,16.46,37.55,0,16.01,0,0.01,0,3.35,0.06,26.49,0.05,0.02,0
17093000,2011,16.55,37.51,0,15.94,0,0,0,3.41,0.07,26.44,0.06,0.02,0
17093000,2012,16.49,37.51,0,15.87,0,0,0,3.52,0.07,26.46,0.06,0.02,0
17093000,2013,16.58,37.57,0,15.84,0,0,0,3.59,0.08,26.26,0.04,0.02,0
17093000,2014,16.61,37.59,0,15.77,0,0.01,0,3.79,0.08,26.06,0.07,0.02,0
17095000,2000,19.38,62.94,0,4.44,0,0.01,0,7.34,0.02,5.85,0,0.01,0
17095000,2001,19.66,62.38,0,4.49,0,0.02,0,7.85,0.02,5.57,0,0.02,0
17095000,2002,20.17,61.24,0,4.25,0,0.02,0,8.66,0.04,5.61,0,0.01,0
17095000,2003,21.67,58.65,0,3.68,0,0,0,10.61,0.02,5.36,0,0.01,0
17095000,2004,25.19,56.21,0,2.78,0,0.01,0,11.01,0.02,4.78,0,0,0
17095000,2005,26.31,54.64,0,2.45,0,0.01,0,12.12,0.02,4.45,0,0,0
17095000,2006,26.57,53.93,0,2.43,0,0.01,0,12.62,0.03,4.4,0.01,0.02,0
17095000,2007,26.51,53.77,0,2.51,0,0.01,0,12.71,0.01,4.43,0.03,0.02,0
17095000,2008,26.33,53.93,0,2.52,0,0.01,0,12.76,0.02,4.35,0.07,0.02,0
17095000,2009,26.78,53.65,0,2.48,0,0.02,0,12.63,0.02,4.32,0.1,0.02,0
17095000,2010,27.07,53.29,0,2.37,0,0,0,12.78,0.03,4.34,0.09,0.02,0
17095000,2011,27.06,53.54,0,2.36,0,0.01,0,12.57,0.03,4.29,0.12,0.03,0
17095000,2012,27.19,53.46,0,2.36,0,0,0,12.53,0.03,4.29,0.1,0.04,0
17095000,2013,28.1,53.18,0.01,2.24,0,0,0,12.17,0.03,4.13,0.1,0.04,0
17095000,2014,28.5,52.8,0.02,2.26,0,0,0,12.13,0.04,4.07,0.14,0.04,0
17120000,2000,14.54,64.7,0,0.87,0,0.06,0,12.8,0.03,6.97,0,0.02,0
17120000,2001,15.12,63.97,0,0.88,0,0.09,0,13.23,0.04,6.64,0.01,0.02,0
17120000,2002,16.11,62.66,0,0.77,0,0.06,0,14.03,0.04,6.3,0.01,0.03,0
17120000,2003,17.62,59.98,0,0.62,0,0.04,0,15.66,0.05,6.01,0,0.02,0
17120000,2004,21.24,57.66,0,0.38,0,0.05,0,14.79,0.05,5.8,0.01,0.03,0
17120000,2005,22.59,55.54,0,0.33,0,0.07,0,15.66,0.04,5.67,0.06,0.03,0
17120000,2006,22.83,54.95,0,0.32,0,0.09,0,15.98,0.05,5.62,0.11,0.06,0
17120000,2007,23.09,54.63,0,0.34,0,0.06,0,16.03,0.06,5.59,0.15,0.05,0
17120000,2008,23.58,53.53,0,0.3,0,0.05,0,16.75,0.06,5.56,0.13,0.05,0
17120000,2009,24.1,53.41,0,0.3,0,0.06,0,16.47,0.05,5.49,0.07,0.06,0
17120000,2010,24.65,53.36,0,0.29,0,0.06,0,16.1,0.05,5.4,0.03,0.06,0
17120000,2011,25.4,53.07,0,0.31,0,0.12,0,15.66,0.05,5.32,0.02,0.06,0
17120000,2012,27.53,52.56,0,0.28,0,0.04,0,14.29,0.04,5.18,0.01,0.07,0
17120000,2013,29.79,52.35,0,0.27,0,0.06,0,12.38,0.04,5.02,0.01,0.07,0
17120000,2014,31.91,51.83,0.01,0.23,0,0.01,0,11.09,0.05,4.79,0.02,0.08,0
17123000,2000,9.89,67.06,0,0.56,0,0.04,0.8,16.99,0.1,4.53,0,0.03,0
17123000,2001,10.75,65.77,0,0.57,0,0.06,0.85,17.56,0.09,4.32,0,0.03,0
17123000,2002,11.77,63.81,0,0.5,0,0.04,0.83,18.79,0.11,4.09,0,0.04,0
17123000,2003,12.76,60.55,0,0.4,0,0.03,1.03,21.19,0.11,3.91,0,0.03,0
17123000,2004,16.35,58.03,0,0.25,0,0.03,0.74,20.68,0.11,3.77,0.01,0.04,0
17123000,2005,17.63,55.89,0,0.21,0,0.05,0.65,21.7,0.11,3.69,0.04,0.04,0
17123000,2006,17.99,55.23,0,0.21,0,0.06,0.52,22.1,0.11,3.65,0.07,0.06,0
17123000,2007,18.28,55,0,0.22,0,0.04,0.41,22.14,0.12,3.63,0.1,0.06,0
17123000,2008,18.95,53.86,0,0.2,0,0.04,0.41,22.69,0.12,3.61,0.08,0.05,0
17123000,2009,19.41,53.71,0,0.19,0,0.04,0.41,22.46,0.12,3.57,0.05,0.06,0
17123000,2010,19.89,53.54,0,0.19,0,0.04,0.47,22.16,0.12,3.51,0.02,0.06,0
17123000,2011,20.51,53.08,0,0.2,0,0.07,0.47,22.03,0.11,3.46,0.01,0.06,0
17123000,2012,22.28,52.78,0,0.18,0,0.03,0.37,20.82,0.1,3.37,0.01,0.06,0
17123000,2013,24.36,52.56,0,0.18,0,0.04,0.35,19.06,0.11,3.26,0.01,0.06,0
17123000,2014,26.23,52.04,0.01,0.15,0,0,0.35,17.92,0.11,3.11,0.01,0.07,0
17200000,2000,1.73,16.11,0,4.12,0,0.13,0,24.33,0.01,53.53,0,0.04,0
17200000,2001,1.67,16.08,0,4.14,0,0.12,0,25.77,0.01,52.18,0,0.03,0
17200000,2002,1.93,15.94,0,4.19,0,0.1,0,26.65,0.02,51.15,0,0.03,0
17200000,2003,2.45,15.86,0,4.21,0,0.18,0,27.83,0.02,49.42,0,0.03,0
17200000,2004,3.32,15.77,0,3.93,0,0.22,0,28.88,0.02,47.83,0,0.04,0
17200000,2005,4.11,15.75,0,3.81,0,0.34,0,29.3,0.02,46.66,0,0.03,0
17200000,2006,4.09,15.85,0,3.63,0,0.11,0,31.01,0.02,45.27,0,0.02,0
17200000,2007,4.1,15.67,0,3.57,0,0.13,0,32.06,0.02,44.44,0,0.02,0
17200000,2008,4.27,15.41,0,3.29,0,0.15,0,33.24,0.03,43.6,0,0.03,0
17200000,2009,4.76,15.2,0,3.37,0,0.1,0,33.76,0.04,42.76,0,0.02,0
17200000,2010,5.14,15.21,0,3.26,0,0.15,0,33.66,0.02,42.54,0,0.03,0
17200000,2011,5.84,15.16,0,3.28,0,0.04,0,33.39,0.02,42.26,0,0.03,0
17200000,2012,7.52,15.18,0,3.1,0,0.07,0,32.29,0.02,41.81,0,0.03,0
17200000,2013,9.48,15.3,0,3.01,0,0.19,0,30.45,0.02,41.52,0,0.03,0
17200000,2014,14.31,15.25,0.01,2.82,0,0.1,0,26.2,0.02,41.27,0,0.04,0
17210000,2000,9.22,21.55,0,3.34,0,0.12,0,19.84,0.01,45.9,0,0.03,0
17210000,2001,9.75,21.51,0,3.28,0,0.11,0,20.92,0.01,44.4,0,0.02,0
17210000,2002,10.78,21.13,0,3.31,0,0.08,0,21.28,0.03,43.37,0,0.02,0
17210000,2003,11.91,20.74,0,3.3,0,0.14,0,22.11,0.03,41.75,0,0.02,0
17210000,2004,13.2,20.43,0,3.04,0,0.16,0,23,0.02,40.11,0,0.03,0
17210000,2005,13.95,20.35,0,2.93,0,0.26,0,23.26,0.02,39.22,0,0.02,0
