COD_STR,Bulk_density,Organic_carbon,Clay,Silt,Sand
15124009,1363.48,14.96,22.6,16.59,61.04
17091000,1361.31,17.96,28.56,11.33,60.38
17092800,1361.09,16.9,24.44,10.79,64.94
17093000,1357.05,15.72,25.05,10.38,64.78
17095000,1358.42,15.64,24.64,10.58,64.99
17120000,1354.84,16.1,24.23,11.4,64.55
17123000,1374.63,14.76,24.8,12.97,62.42
17200000,1357.87,16.59,29.24,11.74,59.21
17210000,1371.2,18.36,24.85,12.95,62.56
17280000,1380.74,14.95,23.68,12.79,63.82
18409000,1353.06,16.06,24.39,9.72,66.02
18415000,1376.18,12.96,25.34,10.26,64.63
18420000,1350.67,15.08,33.97,18.04,48.25
18428000,1407.07,13.92,31.58,23.75,44.9
20100000,1412.53,13.25,30.25,24.06,45.78
20200000,1398.87,12.92,23.84,14.79,61.6
21300000,1436.55,12.14,21.82,13.64,64.8
21560000,1413.47,12.86,22.28,14.58,63.34
21580000,1390.38,13.91,26.6,17.85,55.75
21750000,1420.13,12.08,20.09,15.7,64.56
22100000,1397.03,15.34,29.78,17.13,53.37
22150000,1392.13,13.82,26.13,17.75,56.32
22190000,1385.58,14.39,26.53,12.16,61.53
22220000,1387.78,13.71,24.81,13.83,61.56
22250000,1343.75,16.08,31.25,19,49.67
22680000,1356.55,16.46,30.65,11.84,57.74
22700000,1362.84,15.9,28.69,12.45,59.1
22900000,1373.69,14.98,26.88,12.62,60.72
23100000,1374.69,15.31,25.91,12.77,61.54
23230000,1410.59,12.65,22.05,12.47,65.72
23250000,1373.97,16.91,23.08,17.84,59.27
23251000,1375.75,19.25,25.33,19.75,55.42
23610000,1373.22,15.78,24.8,15.38,60.03
23700000,1365.26,15.5,26.8,19.9,53.6
24070000,1382.62,13.18,25.62,17.89,56.79
24200000,1375.31,14.21,26.7,18.47,55.15
24500000,1379.02,12.67,26.65,18.01,55.43
24700000,1373.81,15.64,25.06,15.95,59.2
24750000,1383.79,14.7,28.52,18.64,53.02
24780000,1374.16,15.59,25.14,16.05,59.02
24800000,1382.21,14.79,25.64,16.9,57.67
24850000,1380.37,14.88,26.06,17.23,56.91
24900000,1391.06,12.31,31.15,15.51,53.5
24950000,1384.57,12.56,34.12,15.99,50.06
25090000,1371.85,12.31,34.94,15.87,49.45
25100000,1377.3,12.77,34.48,17.09,48.63
25120000,1371.91,12.72,34.52,17.66,48.11
25130000,1380.53,12.75,33.96,17.93,48.32
25200000,1432.56,10.72,18.11,13.14,68.86
25700000,1430.32,11.08,18.82,14.03,67.66
25750000,1419.88,11.21,22.2,14.63,63.39
26050000,1417.24,11.17,23.33,17.23,59.67
26100000,1411.65,11.54,25.66,15.53,59.04
26150000,1402.22,11.89,27.49,16.44,56.3
26200000,1404.62,12.03,27.45,17.79,55
26300000,1411.79,12.47,22.04,13.31,64.79
26720000,1410.4,10.37,22.09,21.63,56.47
26790000,1427.1,11.42,20.03,24.15,55.93
27110000,1392.49,11.92,20.74,19.92,59.52
27370000,1420.94,11.77,20.43,24.4,55.33
27380000,1409.48,11.34,22.02,17.16,61.03
27500000,1404.62,11.18,20.49,17.33,62.33
27530000,1413.39,9.83,19.52,20.93,59.8
27550000,1411.81,11.5,20.43,20.56,59.26
28150000,1413.64,10.84,20.13,20.61,59.51
28240000,1380.42,10.07,21.05,23.47,55.8
28300000,1413.09,12.66,23.17,14.34,62.65
28840000,1413.92,10.76,23.36,15.69,61.21
28850000,1407.99,11.74,24.6,14.41,61.27
29050000,1405.94,12.4,24.12,15.15,60.99
29200000,1454.52,12.66,23.2,16.15,60.78
33025000,1454.57,11.98,21.16,12.67,66.42
33070000,1481.98,9.9,19.54,14.47,66.22
33075000,1479.22,9.06,19.68,15.18,65.35
33080000,1453.36,9.29,19.49,15.85,64.91
33170000,1452.59,9.67,20.1,15.56,64.54
33190000,1445.23,10.84,21.57,15.42,63.22
33205000,1426.2,10.83,17.63,18.72,63.86
33214000,1444.32,9.43,18.71,18.09,63.39
33215000,1324.72,21.45,39.49,16.94,43.78
33222000,1351.01,17.6,38.46,15.81,45.92
