COD_STR,Area_km2,Mean_elevation,Mean_slope
15124009,3600,366.7894,0.0683
17091000,4360,627.3897,0.0283
17092800,6770,590.0833,0.0192
17093000,55900,480.5485,0.033
17095000,24700,394.1314,0.0282
17120000,37100,377.9763,0.0332
17123000,57100,363.4364,0.0361
17200000,10800,475.2702,0.0483
17210000,13900,459.114,0.0438
17280000,34600,424.6246,0.0326
18409000,706,681.0247,0.0547
18415000,11600,468.3391,0.0466
18420000,3840,468.5533,0.0407
18428000,3510,375.8617,0.0333
20100000,1970,818.0707,0.111
20200000,3700,731.2331,0.0802
21300000,3760,781.5631,0.0752
21560000,2840,622.3755,0.0653
21580000,409,728.504,0.0837
21750000,1040,661.1694,0.1072
22100000,8720,388.0902,0.0605
22150000,13900,359.9318,0.0495
22190000,1780,580.8165,0.0692
22220000,10300,430.3721,0.0594
22250000,14500,408.9913,0.0575
22680000,16900,474.8601,0.0454
22700000,18000,464.7871,0.0458
22900000,44100,406.1737,0.0615
23100000,242000,508.0058,0.076
23230000,4100,330.8256,0.0972
23250000,10100,337.4156,0.0741
23251000,1060,261.1175,0.0443
23610000,1120,260.6692,0.0488
23700000,297000,465.0545,0.0718
24070000,1760,774.2746,0.0582
24200000,18400,641.4275,0.073
24500000,5280,609.2814,0.0893
24700000,36800,577.2575,0.077
24750000,6430,649.1372,0.0948
24780000,1360,652.0422,0.0779
24800000,12000,578.246,0.0843
24850000,50100,571.3136,0.0781
24900000,2060,648.211,0.0778
24950000,10100,558.7224,0.0816
25090000,103,696.1111,0.1443
25100000,229,655.82,0.1372
25120000,261,497.4738,0.0898
25130000,5310,459.1361,0.0832
25200000,76300,523.9122,0.0712
25700000,92300,490.257,0.0656
25750000,8660,410.9469,0.0699
26050000,17700,613.128,0.035
26100000,25300,565.0201,0.0434
26150000,9390,353.7524,0.0344
26200000,41100,481.2772,0.0405
26300000,59300,416.0097,0.0359
26720000,6610,266.7937,0.0282
26790000,1420,277.3054,0.0441
27110000,6370,233.3931,0.0332
27370000,186,393.6975,0.1001
27380000,1660,261.4049,0.0491
27500000,332000,342.8904,0.0407
27530000,1790,282.5666,0.0697
27550000,1150,238.4269,0.0442
28150000,1580,254.1431,0.0531
28240000,3470,247.1511,0.0435
28300000,377000,328.3496,0.0414
28840000,1530,238.0621,0.0524
28850000,388000,324.8039,0.0418
29050000,703000,380.5097,0.0547
29200000,746000,373.1162,0.0564
33025000,5480,266.0958,0.076
33070000,10400,248.9139,0.0853
33075000,4750,270.1035,0.0982
33080000,23400,213.4686,0.0968
33170000,5930,241.3311,0.1323
33190000,35400,199.7332,0.1004
33205000,3730,339.3206,0.064
33214000,523,277.4716,0.0475
33215000,3000,287.0076,0.0538
33222000,876,242.2735,0.0472
33250000,13200,273.7439,0.0585
33270000,1320,212.9584,0.0596
33281000,24000,222.4262,0.0658
33286000,25200,214.8171,0.0658
33290000,25500,212.6405,0.0655
33321000,4510,309.1851,0.0512
33333000,11400,258.0721,0.0676
33365000,17200,245.4409,0.0848
33380000,20300,211.9398,0.0868
33410000,3660,425.9216,0.0721
33420000,6060,392.7729,0.0793
33430000,4710,400.0336,0.0789
33450000,5750,380.7719,0.0782
33460000,6890,358.999,0.0764
33480000,15000,366.0583,0.0812
33520000,5320,283.3992,0.0832
33530000,27300,309.1095,0.0768
33550000,32700,283.4491,0.0723
33590000,37200,261.618,0.0687
33620000,5560,124.1987,0.0546
33630000,43800,239.7686,0.0668
33631000,646,63.8836,0.026
33638000,1010,92.131,0.0736
33661000,3060,70.8529,0.0427
33680000,49900,218.5724,0.0645
33700000,2040,81.7379,0.0299
33720000,733,111.374,0.0548
33730000,4210,89.2237,0.0602
33750000,1610,95.8881,0.0222
33760000,3990,88.7646,0.027
33770000,2630,76.8804,0.0677
33780000,12600,83.103,0.0495
33790000,669,84.5455,0.0237
34020000,12900,471.3279,0.0651
34030000,2680,453.8415,0.0917
34040500,25500,459.1827,0.069
34060000,31300,447.0238,0.0726
34070000,35300,439.4943,0.0701
34090000,15600,475.9122,0.0544
34130000,9040,458.9531,0.069
34140000,1870,341.4564,0.0351
34142000,1710,359.0348,0.0462
34145000,2140,390.2305,0.0833
34160000,22200,396.1654,0.0597
